region,show_name,session_counts
london,beauty_blowout,58
london,halibalw,58
london,south_today_oxford,58
london,kings_of_70s_romance,57
london,medusas_ankles,57
london,simon_amstell_carnage,57
london,the_genius_of_david_bowie,57
london,world_news_today,57
london,business_briefing,56
london,how_to_build_,56
london,my_year_with_the_tribe,56
london,bmx_world_championships,55
london,breaking_into_prison,55
london,newswatch,55
london,obesity_the_post_mortem,55
london,reggie_yates_searching_for_grenfell_s_lost_lives,55
london,sas_rogue_warriors,55
london,sunday_politics_west,55
london,lets_celebrate,54
london,orbit_earths_extraordinary_journey,54
london,pwy_di_bos_y_gegin_,54
london,bbc_one_northern_ireland,53
london,big_love,53
london,ads_on_the_frontline,52
london,black_music_legends_of_the_1980s,52
london,dam_busters_declassified,52
london,kew_s_forgotten_queen,51
london,north_west_today,51
london,bbc_one_east,50
london,home_ground,50
london,how_to_be_a_world_music_star_buena_vista_bhundu_boys_and_beyond,50
london,nigeria_s_stolen_daughters,50
london,wolfblood_uncovered,50
london,project_wild_thing,49
london,royal_recipes,49
london,the_bee_gees_at_the_bbc_and_beyond,49
london,wallace_and_gromit_the_wrong_trousers,49
london,bailtean_alba,48
london,cosmonauts_how_russia_won_the_space_race,48
london,rugby_league_challenge_cup,48
