region,show_name,session_counts
london,the_search_for_a_new_earth,74
london,fuine,73
london,the_break,73
london,bobi_jac,72
london,british_gardens_in_time,72
london,return_to_larkinland,72
london,the_fa_cup,72
london,murdered_for_being_different,71
london,nairn_across_britain,71
london,tomorrows_worlds_the_unearthly_history_of_science_fiction,71
london,bbc_radio_one,70
london,more_dawn_french_s_girls_who_do_comedy,70
london,rownd_a_rownd,70
london,the_coronation,70
london,thursday_in_parliament,70
london,bbc_one_south_east,69
london,bbc_one_north_west,68
london,bbc_one_west_midlands,68
london,science_and_nature,68
london,the_men_who_sleep_in_trucks,68
london,a1_britain_s_longest_road,67
london,bbc_one_yorks,67
london,egypt_s_lost_queens,67
london,clwb_rygbi_rhyngwladol,66
london,britain_celebrates_live_100_years_of_women_s_votes,65
london,padraig_post_seirbheis_deis_agus_sonraichte,65
london,peter_kays_car_share,65
london,seonaidhshaun_the_sheep,65
london,romesh_talking_to_comedians,64
london,the_curious_house_guest,64
london,top_gear_extra_gear,64
london,bbc_one_west,63
london,the_quay_sessions,63
london,clydebuilt_the_ships_that_made_the_commonwealth,62
london,coconut,62
london,astronauts_do_you_have_what_it_takes,61
london,look_east_west,61
london,just_another_day,60
london,overshadowed,60
london,jim_baxter,59
