user_id,gender,age_range,region
nE-0a15Fl4P69hEAS5cYKhrYIcoVZYRNRURrRyU9Ebw,male,45-54,Midlands West
SaZrKW6HHQJDNEBxb_OWt58Sza9FeyPU_bunWAEvT70,male,64+,Scotland
QSuVy8lH_jH6-ZyiKNdKOcjgJtauHJOoNI9Zp8LWskU,female,55-64,Midlands West
x0Kp3MBp3mnqGS-bn4p3K1rMBddj1qtQpdviGXeX7Hw,female,64+,Scotland
g0jkc_znGg8r3awnDRsAJvUkxWITfohj_z5alRdVkzM,male,25-34,London
pmedBOzpECH8NfnsH-pUhyRbDw3gkP5XFxJMZYjA6nY,female,16-24,South
_txp39XnCdt55RGLnVp7JiaWxHi88_gdMq81bm_JOEg,female,55-64,Midlands West
okeR1pPVn11Yv9BwrnMRITSi4_lTxVfwCZqgpRQaik8,female,25-34,Midlands East
-yxVmPQSAtYgwSDZxp1qJAoR8yqiHrfGpdx9OdxrFEI,male,45-54,London
L6PbPBVDIxA3mTIIxI4mt7xlrLB44U4YyB89uUc0R80,female,64+,London
NxifP8mUQpqUrKPRzfy2ITEB9g2k0Sl1wC-_002PUoU,male,35-44,London
qQRGsiYOEI2srXzdhwVPmLP32OgGytapNY1nLz_Vmvk,prefer not to say,35-44,Scotland
HogQj0DtrwHiaHxq7biZs4QFs_6wfnAAuEFBnstQ62Y,female,35-44,Yorkshire and Lincolnshire
oc-USVd7j0eN07HJPoVfTnh0EjHrf4rBaSKgCcb8LwE,male,35-44,Wales
FEIqmZr3llg2GK2gfbatnhcoFOMgUbWusFX-k3AEfKg,male,64+,East of England
2P9uGDlD92ZS45YcaP7j9aJVy9vPxNZ9P2iW_MP2YPI,female,45-54,East of England
U2amY5CkQmhVVnbDMXVYCqDtqPAG4FhNUbcjniK7lwY,female,55-64,London
UDfSdtdTIUNJPPEKC5X2FgRL4AlXGkueaaqm0DnisWc,male,45-54,South East
oZn4-2nSE6kZEtNCBDuAyWaDJAsMmt5MxPReC7Pfsww,male,25-34,South West
0SAKjPZWIAQBkz820nNA879qFfnaXGnnaTucQqjWDN4,male,45-54,West
XAlScI6SkLwwBeKZrHAiKKRsTMhwwWOubFyjPStj3ww,male,25-34,London
wzpuGbuRKTatvU6Y0qSSeNC8fAsOMjh_BrwqVfkFeas,male,55-64,South
0_uhUL5A4zngE_tE7TEugPonXkvJJoqS1omaqFGWKs4,male,25-34,North West
H9vxiRXoQvfGFc1FPNtkUgW_503DVHRrmjQYaherzW4,female,64+,Midlands West
1k0R9n5A59QPaO246VkbwCVFRgWowH74an0aRBUXoRY,male,35-44,London
X8RduRdGSjMApXqgjpXPQs4-vsE_lLvMTO5yWYqbmU4,male,45-54,North East and Cumbria
hfTbbOOnTVTxnwn2670zSWOlnBsPOa9KH_3rh45l9rQ,female,16-24,West
1JmRt1ZOuziFkTacMdG_iScjgm-FEyKt90JVH4KscWY,female,25-34,London
R3IkEbRU-ytwXld3sELqY66taBlbvEXGoSHlSo_L6v4,male,35-44,London
IWyxg7CVif7PBF0yPg_Oa6PNJ2acpuZAvtcWluIRCb8,male,45-54,London
MJH9FQ8bSJv4Yqo4fyFYSH1LS51_EClWY5HatvdWrP0,female,45-54,Scotland
0_JqmeaB__N0CeP3PZMGc06m5b0ILLx-xXZuo49nB10,male,64+,South
WYnpkZqNEvf_Lb1BA_Oa8HyDAINwbSsnmIpnTeXVsHI,male,16-24,Midlands West
QxgvEfXFyishgGPbULZ5XRA_7nf9Cpa2sVPSJl8GUQY,male,16-24,Wales
fvNgqMpju8Ii8DRHal0mrHvCvqRYKueD3yJduKr6xxI,male,45-54,Scotland
iQeGgrEcqwM4vQNJzd8G37Cq7rYsdaAG2ATbWKLbfb8,female,16-24,Yorkshire and Lincolnshire
lH_JVxo4907iRsIby4lUV-xewUckGsIlITbyEcSqSEI,male,45-54,Midlands West
2u5cdZ7CD3x4n4fAu4wIWR2376RjQ86EMEZf8q3k2Qo,male,55-64,Midlands East
0V9BLcU5WLozkJ7OnDIDhpEzS7fu-WDEPxSnqlCv_m4,female,55-64,Midlands West
E2KIW4z58G99mm9daL99iRR28n75C8YzAzy1KXlLzHM,female,45-54,London
nG3ZXUuxRG2z89kJhyIgBw3aa5lu7_YeUqKYw9pU03U,male,25-34,Midlands West
2qPYZ4n8gDsAujIz6ekvssRb0AVEnuR-kgjMblUEAN4,male,16-24,East of England
jtF_7oT-h8qZyC74dG_fjhHrj_W1x8mRYHdxtdLc9hQ,prefer not to say,25-34,South
rJU--U68Vfw5ArKv2ePDk6W8CQoV7Y6LpbjieVXonqM,female,25-34,Ulster
gDk3oYYM_DrB5DxgYAwhEAdqDjy_RKVG7bW2mAYcz2c,female,25-34,Yorkshire and Lincolnshire
0I-QeMkUS_6AjM3ySCyD5LDg5wJNI1Co8YqViXI5CcQ,male,16-24,South East
ibAu0BCwDgPd2Jp2qq15dqWZGh21GQr781ZoxMhuDgY,female,35-44,Midlands East
dgdNDydVnip9Cc4c1x-vQ1pdwAl_1UlqiCavdKPgoTw,male,55-64,Midlands East
tHAvtF068S-f3xBcXJlfsxJDTPmke5w6sY8wwW-6DoA,male,55-64,North West
S-3xKPy_zchtevw1eAHfRhD0nqhjc6Bsqqye3uCr5Nk,male,64+,North East and Cumbria
2XfgrcCT1fD1f8ypvzvSqaS81sawBUDwGRf5_d4P8Ao,male,45-54,North West
4iV00NrQGHB__sqCxy-x3xgBTzGmzsAagao4z3SSv1g,female,64+,South East
m9dgvPmbxzZ0O55zan5ySVtd-viE_ixPtQ83Afrvkpw,male,25-34,North East and Cumbria
CMRun2fs7HN3sTtl6Ox2xRYgCxw3r4JQVdRxnQZwNxQ,female,25-34,Ulster
2Ai8lmY-ohCNRjUaGUzndhbnbOQHeuoPM7wYX3jV3v4,female,64+,Wales
HCu4344aA1pLAPwii-Lub4Bw5PhIdripW5RFV38ElzU,prefer not to say,55-64,South
v_KZFJX_OBRXP6XDcGCyhjxy_L8j4FdSBUwcvHKucEI,male,16-24,East of England
Y2bwkc9aIz_SPsP6BDASaDcCF0wnB_ThznisLNhYC24,male,45-54,Wales
9PkJetgum4uQUHp4znqqX7LTQuT_tY7DUDo_z3fMg9U,female,35-44,East of England
P3rw6JtBwwh-KhgfVK0fonhORAVaXqLQv-JJQhbrLRA,male,25-34,South East
rnjrTUyzMFwJNdMbJQyRHChjccpvaEC_5ksiYMW4vJY,male,45-54,South
qk_CUYF6_Yg9ulWLYw-Ldbph_RVQtWB8aDV4ysNEqhk,male,64+,East of England
Y_EbwyOe_oIaF25V9UD-HaauwIoeGqOiQDWT7ye_bRQ,female,45-54,North West
xrUj_tXj0wYeiCI4rFBpvhw0OwINOo_Yxdr1705UOms,female,45-54,Ulster
VJ5YTJtdUNDD0FoCTGqXAb_F-v6y8JMc60hMj8zTE5s,male,25-34,Yorkshire and Lincolnshire
0l0LW92D1nBQf5sQC3tnAL9Ruw_YmHbvyFzPd0KTLsg,female,64+,Midlands West
qiRLIZheeAFkJkVUdI-mL4nwD25RCyRg0aCqIfdIcmc,male,45-54,Ulster
BbgJHu1K2TcFv9jL1rm3uCwI9EodyZDOntAnubDdQUM,male,25-34,Midlands West
hwNs6KrAIOZT3CAsJt1SPbQtgx40fJVIuhN6P1PY8hA,male,45-54,London
F2Q99yx0_68_Y9OUuPNine19dydX1h1nhWt6WyFvcj4,female,45-54,South
En5X0JMNahQdZoV2LEomV5QlW5gWph099_YvMJv16d4,female,25-34,South East
7Q2sc_jlhHojszkWHxEiwa5eK1CPY9l3IuoK2xT0I_w,prefer not to say,25-34,Midlands West
-FU81HTi8hkKRvPofCOFq-7pCZ2Cc6zP60hROAAeGWg,female,64+,South East
P7qDapant63yP6oVfx2jvLIzb6HPFuam0ge537TieSQ,male,35-44,London
dKNH_B4GnBeVBipEw4Slt1twcAEweUHrgt210NcFtRs,female,55-64,Midlands East
fzpT5kBRO_3mECOM7HCkxXKcxeHxVZ4srqI8d1yHt4s,male,16-24,Midlands West
XyGUelIyVvKbPoYAG9MJFLnkzRDPyrylqDT_vqpf25o,male,16-24,Scotland
VElo7eGrActLZPz1sBEi8LptBh0dNAw01q_8F7ecclI,female,64+,South East
kp2-GbSulmKWer_kS3aTRUnAsWD1Yl9VZMeDJoCKN4M,female,55-64,North West
SagjSUp59-gtAcm16ms_l7XSV1H8IZCa020cfMYfk3w,female,16-24,London
HVrRT-cx3hITjpu1R0MlKxRN89CSLEr-RsUaLy_lGPg,male,16-24,London
IcLMQFR4Tb1JLYvJoy47xLdIG6DcoYOhtM9F8n1nzGQ,male,25-34,London
V38iB3mLSKi-1x3ts9kFoA4fCiNYxEba_tp7IzLDaUc,female,35-44,Midlands West
vPg6iI0BYiFQw1wo6QiI9iwfmoAQSLxBnDXWRdQ7kRk,male,25-34,West
IiCrjlUaAo1ab_5z3ipazu-lIrUhdtIc3In4BKEaJEc,male,64+,East of England
SAGvrNUSlNid8TD_y32tb19A-mdQvJu-rVHO0ykJR68,male,55-64,East of England
